nameTranslated.en,@id,@index,@type
Measles,lM0hsIgBnMmOXZCbm4vP,prod-issues-v1,_doc
COVID-19,g80Cf4gBnMmOXZCbX4tn,prod-issues-v1,_doc
Malaria,hc0Cf4gBnMmOXZCbX4tn,prod-issues-v1,_doc
Dengue,h80Cf4gBnMmOXZCbX4tn,prod-issues-v1,_doc
Tuberculosis,j83gm4gBnMmOXZCbR4t9,prod-issues-v1,_doc
Polio,k81moYgBnMmOXZCbvYsQ,prod-issues-v1,_doc
Crimean-Congo Fever,4vff9IgBbJv4bNYi0dOR,prod-issues-v1,_doc
Marburg,ic0Cf4gBnMmOXZCbX4tn,prod-issues-v1,_doc
Mpox,hM0Cf4gBnMmOXZCbX4tn,prod-issues-v1,_doc
Ebola,is0Cf4gBnMmOXZCbX4tn,prod-issues-v1,_doc
Smallpox,4_dT-YgBbJv4bNYizdN-,prod-issues-v1,_doc
HIV / AIDS,hs0Cf4gBnMmOXZCbX4tn,prod-issues-v1,_doc
Cholera,iM0Cf4gBnMmOXZCbX4tn,prod-issues-v1,_doc
Hepititus,eM3ifYgBnMmOXZCbpouS,prod-issues-v1,_doc
