nameTranslated.en,createdAt,nameTranslated.fr,descriptionTranslated.en,descriptionTranslated.fr,keywords,@id,@index,@type
Home Remedies,2023-06-02,Remèdes maison,"Unapproved practices or treatments for disease (e.g., ginger root, herbal teas, hot water).","Pratiques ou traitements non approuvés pour la maladie (par exemple, racine de gingembre, tisanes, eau chaude).","ginger,herbal,lemon,neem,#neem",fs31fogBnMmOXZCbnosl,prod-themes-v1,_doc
Vaccine Trials,2023-06-02,Essais de vaccination,Messaging and misinformation regarding vaccine trials.,Messagerie et désinformation concernant les essais de vaccins.,"trial,trials",fM31fogBnMmOXZCbnosl,prod-themes-v1,_doc
Stigmatization,2023-06-02,Stigmatisation,"Labelling, stereotyping or discriminating against people who have survived a disease or are connected to someone who has been infected.","L'étiquetage, les stéréotypes ou la discrimination à l'égard des personnes qui ont survécu à une maladie ou qui sont liés à une personne infectée.","stigmatize,stigmatization,shun,stereotype,stereotyping",ec3qfYgBnMmOXZCbp4tK,prod-themes-v1,_doc
Corruption,2023-06-02,La Corruption,"Expressions that corruption is influencing public health activities by government, international organizations, NGOs, or pharmaceutical companies.","Les expressions que la corruption influencent les activités de santé publique par le gouvernement, les organisations internationales, les ONG ou les sociétés pharmaceutiques.","corrupt,corruption,embezzlement,embezzle,stolen",es3rfYgBnMmOXZCbaYt2,prod-themes-v1,_doc
NPIs,2023-06-02,NPIs,"Non-pharmaceutical interventions including social distancing, quarantine, face masks, hand washing, etc.","Interventions non pharmaceutiques, y compris la distanciation sociale, la quarantaine, les masques faciaux, le lavage des mains, etc.","mask,masks,masking,quarantine,distancing",gc31fogBnMmOXZCbnosl,prod-themes-v1,_doc
Lockdowns/Travel Restrictions,2023-06-02,Verrouilleurs / restrictions de voyage,"Closures of businesses, public facilities, and travel restrictions.","Fermetures d'entreprises, d'installations publiques et de restrictions de voyage.","closure,lockdown,flight,checkpoint",gs31fogBnMmOXZCbnosl,prod-themes-v1,_doc
Traditional/Religious Practices,2023-06-02,Pratiques traditionnelles / religieuses,"Expressions of prayer, citing God, or a elevating a spiritual role in disease outbreaks and public health practices.","Expressions de la prière, citant Dieu ou élevant un rôle spirituel dans les épidémies de maladies et les pratiques de santé publique.","faith,pray,prayer,bless,blessing,God,Allah,Jesus",f831fogBnMmOXZCbnosl,prod-themes-v1,_doc
Treatment,2023-06-02,Traitement,Messaging and misinformation regarding clinical or pharmaceutical disease treatments and solutions.,Messagerie et désinformation concernant les traitements et les solutions cliniques ou pharmaceutiques.,"treatment,treatments,cure,cures,medication,hydroxychloroquine,ivermectin,drug,drugs",ds3dfYgBnMmOXZCbzIte,prod-themes-v1,_doc
Bio-weapon,,Bio-arme,Messaging and misinformation regarding lab-created or nefarious spread of disease.,Messagerie et désinformation concernant la propagation de la maladie créée par le laboratoire ou néfaste.,"manufactured,lab,weapon,exterminate",kM3gm4gBnMmOXZCbiouu,prod-themes-v1,_doc
Case Reporting,2023-06-02,Reportage de cas,Case counts for emerging outbreaks or endemic diseases.,Le nombre de cas pour les épidémies émergentes ou les maladies endémiques.,,gM31fogBnMmOXZCbnosl,prod-themes-v1,_doc
Vaccine Side Effects,2023-06-02,Effets secondaires du vaccin,Messaging and misinformation regarding vaccine side effects.,Messagerie et désinformation concernant les effets secondaires du vaccin.,"complications,shedding,reaction,adverse,clot,clots,paralizado,paralyzed",e83rfYgBnMmOXZCbaYt2,prod-themes-v1,_doc
Disease Risk,,,,,,7fqvxYgBhaQIJmHbSc3l,prod-themes-v1,_doc
Media Bias,2023-06-02,Biais médiatique,Messaging and misinformation regarding fake news and biased coverage.,Messagerie et désinformation concernant les fausses nouvelles et la couverture biaisée.,,d83hfYgBnMmOXZCbi4tN,prod-themes-v1,_doc
Variants,,Variantes,Messaging and misinformation regarding disease variants and mutations.,Messagerie et désinformation concernant les variantes et les mutations de la maladie.,"variant,variants",kc3rm4gBnMmOXZCbdYtO,prod-themes-v1,_doc
Vaccine Efficacy,2023-06-02,Efficacité des vaccins,Messaging and misinformation regarding vaccine effectiveness.,Messagerie et désinformation concernant l'efficacité du vaccin.,"effective,efficacy,ineffective,useless,placebo",fc31fogBnMmOXZCbnosl,prod-themes-v1,_doc
Conspiracy,2023-06-02,Conspiration,Messaging and misinformation regarding conspiracies and nefarious plots.,Messagerie et désinformation concernant les complots et les complots néfastes.,"conspiracy,sheeple,#sheeple,wakeup",7vrBxYgBhaQIJmHbBM1v,prod-themes-v1,_doc
